Species	Class	Superorder	Order	Family	Genus
Acanthisitta chloris	Aves	Neognathae	Passeriformes	Acanthisittidae	Acanthisitta
Acinonyx jubatus	Mammalia	Laurasiatheria	Carnivora	Felidae	Acinonyx
Ailuropoda melanoleuca	Mammalia	Laurasiatheria	Carnivora	Ursidae	Ailuropoda
Alligator mississippiensis	Unclassified	Unclassified	Crocodylia	Alligatoridae	Alligator
Alligator sinensis	Unclassified	Unclassified	Crocodylia	Alligatoridae	Alligator
Ambystoma mexicanum	Amphibia	Batrachia	Caudata	Ambystomatidae	Ambystoma
Anas platyrhynchos	Aves	Neognathae	Anseriformes	Anatidae	Anas
Anolis carolinensis	Unclassified	Lepidosauria	Squamata	Iguanidae	Anolis
Antrostomus carolinensis	Aves	Neognathae	Caprimulgiformes	Caprimulgidae	Caprimulgus
Aotus nancymaae	Mammalia	Euarchontoglires	Primates	Aotidae	Aotus
Apaloderma vittatum	Aves	Neognathae	Trogoniformes	Trogonidae	Apaloderma
Aptenodytes forsteri	Aves	Neognathae	Sphenisciformes	Spheniscidae	Aptenodytes
Apteryx australis mantelli	Aves	Palaeognathae	Apterygiformes	Apterygidae	Apteryx
Astyanax mexicanus	Actinopteri	Characiphysae	Characiformes	Characidae	Astyanax
Austrofundulus limnaeus	Actinopteri	Atherinomorphae	Cyprinodontiformes	Unclassified	Austrofundulus
Balaenoptera acutorostrata	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
Balearica regulorum	Aves	Neognathae	Gruiformes	Gruidae	Balearica
Bison bison	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bison
Bos grunniens	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bos
Bos taurus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bos
Bubalus bubalis	Mammalia	Laurasiatheria	Unclassified	Bovidae	Bubalus
Buceros rhinoceros	Aves	Neognathae	Bucerotiformes	Bucerotidae	Buceros
Calidris pugnax	Aves	Neognathae	Charadriiformes	Scolopacidae	Calidris
Callithrix jacchus	Mammalia	Euarchontoglires	Primates	Cebidae	Callithrix
Callorhinchus milii	Chondrichthyes	Unclassified	Chimaeriformes	Callorhinchidae	Callorhinchus
Calypte anna	Aves	Neognathae	Trochiliformes	Trochilidae	Calypte
Camelus ferus	Mammalia	Laurasiatheria	Unclassified	Camelidae	Camelus
Canis familiaris	Mammalia	Laurasiatheria	Carnivora	Canidae	Canis
Capra hircus	Mammalia	Laurasiatheria	Unclassified	Bovidae	Capra
Cariama cristata	Aves	Neognathae	Gruiformes	Cariamidae	Cariama
Cathartes aura	Aves	Neognathae	Ciconiiformes	Cathartidae	Cathartes
Cavia porcellus	Mammalia	Euarchontoglires	Rodentia	Caviidae	Cavia
Ceratotherium simum	Mammalia	Laurasiatheria	Perissodactyla	Rhinocerotidae	Ceratotherium
Cercocebus atys	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Cercocebus
Chaetura pelagica	Aves	Neognathae	Apodiformes	Apodidae	Chaetura
Charadrius vociferus	Aves	Neognathae	Charadriiformes	Charadriidae	Charadrius
Chelonia mydas	Unclassified	Unclassified	Testudines	Cheloniidae	Chelonia
Chinchilla lanigera	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla
Chlamydotis undulata	Aves	Neognathae	Gruiformes	Otididae	Chlamydotis
Chlorocebus sabaeus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Chlorocebus
Choloepus hoffmanni	Mammalia	Xenarthra	Pilosa	Megalonychidae	Choloepus
Chrysemys picta	Unclassified	Unclassified	Testudines	Emydidae	Chrysemys
Chrysochloris asiatica	Mammalia	Afrotheria	Unclassified	Chrysochloridae	Chrysochloris
Clupea harengus	Actinopteri	Unclassified	Clupeiformes	Clupeidae	Clupea
Colius striatus	Aves	Neognathae	Coliiformes	Coliidae	Colius
Colobus angolensis palliatus	Mammalia	Euarchontoglires	Primates	Cercopithecidae	Colobus
Columba livia	Aves	Neognathae	Columbiformes	Columbidae	Columba
Corvus brachyrhynchos	Aves	Neognathae	Passeriformes	Corvidae	Corvus
Corvus cornix cornix	Aves	Neognathae	Passeriformes	Corvidae	Corvus
