sequenceID	virus_name	virus_full_name	host_species	assign_clade	virus_subfamily	virus_genus	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	lab_construct
NC_031670	DeerTetraPV	Deer_tetraparvovirus 	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
NC_016744	EhBtPV	Eidolon_helvum_parvovirus 1	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
JF504699	OvineHoko1	Ovine_hokovirus_1	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
EU200669	BovineHoko1	Bovine_hokovirus_1	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
EU200677	PorcineHoko1	Porcine_hokovirus	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
HQ113143	ChimpPV4	Chimpanzee_parvovirus_4	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
NC_007018	HumanPV4	Human_parvovirus_4_G1	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
MG745669	RodentTetraPV	Rodent_tetraparvovirus	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
MG745671	DdPV	Didelphimorphs_tetraparvovirus	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
GU938300	PorcineTetraPV	Porcine tetraparvovirus	NK	NK	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	NK	FALSE
