taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/KP120516	KP120516	SlPV	Slow loris parvovirus 1	Parvovirinae	Loriparvovirus	not-set	not-set	not-set	not-set	-	Nycticebus coucang	-	USA: North Carolina
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_000883	NC_000883	B19	Human parvovirus B19	Parvovirinae	Erythroparvovirus	not-set	not-set	not-set	not-set	J35	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_001401	NC_001401	AAV2	Adeno-associated virus 2	Parvovirinae	Dependoparvovirus	Dependo3	Dependo-A	Dependo3	Dependo-A	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_001539	NC_001539	CPV	Carnivore protoparvovirus	Parvovirinae	Protoparvovirus	Proto1	not-set	Proto1	Proto1	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_001540	NC_001540	BPV	Bovine parvovirus	Parvovirinae	Bocaparvovirus	not-set	not-set	not-set	not-set	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_001662	NC_001662	AMDV	Aleutian mink disease virus	Parvovirinae	Amdoparvovirus	not-set	not-set	not-set	not-set	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_006259	NC_006259	BPV2	Bovine parvovirus 2	Parvovirinae	Copiparvovirus	not-set	not-set	not-set	not-set	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_007018	NC_007018	PARV4	Human parvovirus 4	Parvovirinae	Tetraparvovirus	not-set	not-set	not-set	not-set	-	Homo sapiens	-	USA
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_016744	NC_016744	EhBtPV1	Eidolon helvum parvovirus 1	Parvovirinae	Tetraparvovirus	not-set	not-set	not-set	not-set	-	Eidolon helvum	-	Ghana
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs/NC_024452	NC_024452	ChPV	Chicken parvovirus	Parvovirinae	Aveparvovirus	not-set	not-set	not-set	not-set	-	-	-	Hungary
alignment/AL_TREE_Parvovirinae_EPV/member/fasta-refseqs-unc-parvo-epv/parvovirinae.1-scyliorhinus	parvovirinae.1-scyliorhinus	parvovirinae.1-scyliorhinus	parvovirinae.1-scyliorhinus	Parvovirinae	unc-parvo	NK	NK	NULL	NULL	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/fasta-refseqs-unc-parvo-epv/parvovirinae.2-tetraodon	parvovirinae.2-tetraodon	parvovirinae.2-tetraodon	parvovirinae.2-tetraodon	Parvovirinae	unc-parvo	NK	NK	NULL	NULL	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/fasta-refseqs-unc-parvo-epv/parvovirinae.20-laurasiatheria	parvovirinae.20-laurasiatheria	parvovirinae.20-laurasiatheria	parvovirinae.20-laurasiatheria	Parvovirinae	unc-parvo	NK	NK	NULL	NULL	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/fasta-refseqs-unc-parvo-epv/parvovirinae.22-laurasiatheria	parvovirinae.22-laurasiatheria	parvovirinae.22-laurasiatheria	parvovirinae.22-laurasiatheria	Parvovirinae	unc-parvo	NK	NK	NULL	NULL	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/fasta-refseqs-unc-parvo-epv/parvovirinae.7-bradypus	parvovirinae.7-bradypus	parvovirinae.7-bradypus	parvovirinae.7-bradypus	Parvovirinae	unc-parvo	NK	NK	NULL	NULL	-	-	-	-
alignment/AL_TREE_Parvovirinae_EPV/member/ncbi-refseqs-unc-parvo-epv/X59532	X59532	X59532	X59532	Parvovirinae	unc-parvo	Betaherpes	NK	NULL	NULL	-	-	-	-
