taxon	sequenceID	name	locus_name	locus_numeric_id	scaffold	start_position	end_position	host_sci_name	host_class	host_superorder	host_order	host_family	host_genus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Callorhinus_ursinus	dependo.20-Callorhinus_ursinus	dependo.20-Callorhinus_ursinus	dependo.20-laurasiatheria	20	KZ836403.1	1669062	1669304	Callorhinus_ursinus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Callorhinus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Equus_africanus_asinus	dependo.20-Equus_africanus_asinus	dependo.20-Equus_africanus_asinus	dependo.20-laurasiatheria	20	scaffold15255	44734	44970	Equus_africanus_asinus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Equus_asinus_somalicus	dependo.20-Equus_asinus_somalicus	dependo.20-Equus_asinus_somalicus	dependo.20-laurasiatheria	20	scaffold15255	44734	44970	Equus_asinus_somalicus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Equus_burchellii_boehmi	dependo.20-Equus_burchellii_boehmi	dependo.20-Equus_burchellii_boehmi	dependo.20-laurasiatheria	20	chr8	1277542	1277778	Equus_burchellii_boehmi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Equus_caballus	dependo.20-Equus_caballus	dependo.20-Equus_caballus	dependo.20-laurasiatheria	20	chr8	1277542	1277778	Equus_caballus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Equus_grevyi	dependo.20-Equus_grevyi	dependo.20-Equus_grevyi	dependo.20-laurasiatheria	20	chr8	1277542	1277778	Equus_grevyi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Equus_hemionus	dependo.20-Equus_hemionus	dependo.20-Equus_hemionus	dependo.20-laurasiatheria	20	scaffold15255	44734	44970	Equus_hemionus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Equus_kiang	dependo.20-Equus_kiang	dependo.20-Equus_kiang	dependo.20-laurasiatheria	20	scaffold15255	44734	44970	Equus_kiang	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Equus_zebra_hartmannae	dependo.20-Equus_zebra_hartmannae	dependo.20-Equus_zebra_hartmannae	dependo.20-laurasiatheria	20	chr8	1277542	1277778	Equus_zebra_hartmannae	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Eumetopias_jubatus	dependo.20-Eumetopias_jubatus	dependo.20-Eumetopias_jubatus	dependo.20-laurasiatheria	20	ML137966.1	207960	208202	Eumetopias_jubatus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Eumetopias
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Felis_nigripes	dependo.20-Felis_nigripes	dependo.20-Felis_nigripes	dependo.20-laurasiatheria	20	PISY01050105.1	6610	6759	Felis_nigripes	Mammalia	Laurasiatheria	Carnivora	Felidae	Felis
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Gulo_gulo	dependo.20-Gulo_gulo	dependo.20-Gulo_gulo	dependo.20-laurasiatheria	20	CYRY01002055.1	44039	44203	Gulo_gulo	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Halichoerus_grypus	dependo.20-Halichoerus_grypus	dependo.20-Halichoerus_grypus	dependo.20-laurasiatheria	20	JAAXOB010002173.1	22896	23051	Halichoerus_grypus	Mammalia	Laurasiatheria	Carnivora	Phocidae	Halichoerus
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Inia_geoffrensis	dependo.20-Inia_geoffrensis	dependo.20-Inia_geoffrensis	dependo.20-laurasiatheria	20	RJWO010003217.1	2537	2764	Inia_geoffrensis	Mammalia	Laurasiatheria	Cetacea	Iniidae	Inia
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Kogia_breviceps	dependo.20-Kogia_breviceps	dependo.20-Kogia_breviceps	dependo.20-laurasiatheria	20	RJWL010008957.1	43647	43829	Kogia_breviceps	Mammalia	Laurasiatheria	Cetacea	Physeteridae	Kogia
alignment/AL_EPV-DEPENDO-20-laurasiatheria/member/fasta-digs-dependo-epv/dependo.20-Lipotes_vexillifer	dependo.20-Lipotes_vexillifer	dependo.20-Lipotes_vexillifer	dependo.20-laurasiatheria	20	gi|599273349|ref|NW_006777435.1|	1004199	1004375	Lipotes_vexillifer	Mammalia	Laurasiatheria	Cetacea	Lipotidae	Lipotes
