sequenceID	locus_name	locus_numeric_id	stem	host_species	host_class	host_superorder	host_order	host_family	host_genus	record_id	target_datatype	target_version	target_name	scaffold	orientation	extract_start	extract_end	subject_start	subject_end	query_start	query_end	align_len	bitscore	identity	evalue_num	evalue_exp	gap_openings	mismatches	sequence_length
proto.1-Rattus_norvegicus	proto.1-Rattus_norvegicus	1	proto.1	Rattus_norvegicus	Mammalia	Euarchontoglires	Rodentia	Muridae	Rattus	31302	complete	goldenpath_rn6	rn6.fa_4.fa	chr5	-	68316098	68319566	425	864	857	2176	440	889	99.318	0	1	0	0	3469
proto.101-Monodelphis_domestica	proto.101-Monodelphis	101	proto.101	Monodelphis_domestica	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	31580	complete	goldenpath_monDom5	chr8.fa	chr8	+	230387503	230387992	284	365	55	300	82	130	79.268	3.74	52	0	0	490
proto.101-Monodelphis_domestica	proto.101-Monodelphis	101	proto.101	Monodelphis_domestica	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	31650	complete	goldenpath_monDom5	chr6.fa	chr6	+	48166605	48171684	741	1156	3779	5020	416	626	72.596	0	1	2	0	5080
proto.101-Monodelphis_domestica	proto.101-Monodelphis	101	proto.101	Monodelphis_domestica	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Monodelphis	31712	complete	goldenpath_monDom5	chr8.fa	chr8	+	230394727	230396848	656	1156	551	2062	507	700	70.414	0	1	5	0	2122
proto.101-Phascolarctos_cinereus	proto.101-Monodelphis	101	proto.101	Phascolarctos_cinereus	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos	31960	low_coverage	phaCin_unsw_v4.1	phaCin_unsw_v4.1.fa	phaCin_unsw_v4.1.fa.scaf00238	-	3399577	3399798	1065	1138	1	222	74	117	70.27	2.7	34	0	0	222
proto.102-Tamandua_tetradactyla	proto.102-Tamandua	102	proto.102	Tamandua_tetradactyla	Mammalia	Xenarthra	Pilosa	Myrmecophagidae	Tamandua	31284	low_coverage	TamTet_v1	GCA_004025105.1_TamTet_v1_BIUU_genomic.fna	PVIF010024111.1	+	5491	9366	1	1268	61	3870	1284	2386	93.925	0	1	4	0	3876
proto.102-Takifugu_flavidus	proto.102-Tamandua	102	proto.102	Takifugu_flavidus	Actinopteri	Unclassified	Tetraodontiformes	Tetraodontidae	Takifugu	32006	low_coverage	v1	GCA_000400755.1_version_1_of_Takifugu_flavidus_genome_genomic.fna	KE121665.1	-	15726	16271	818	991	1	534	178	113	34.831	2.91	31	3	0	546
proto.107-Myocastor_coypus	proto.107-Hydrochoerus	107	proto.107	Myocastor_coypus	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	31279	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010008974.1	-	44073	48065	545	1061	2395	3972	526	858	80.608	0	1	4	0	3993
proto.107-Myocastor_coypus	proto.107-Hydrochoerus	107	proto.107	Myocastor_coypus	Mammalia	Euarchontoglires	Rodentia	Myocastoridae	Myocastor	31617	low_coverage	MyoCoy_v1_BIUU	GCA_004027025.1_MyoCoy_v1_BIUU_genomic.fna	PVJA010043233.1	+	8551	12514	391	918	1953	3572	540	811	76.481	0	1	6	0	3964
proto.108-Cuniculus_paca	proto.108-Dinomys	108	proto.108	Cuniculus_paca	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus	31382	low_coverage	CunPac_v1_BIUU	GCA_004365215.1_CunPac_v1_BIUU_genomic.fna	RJWT010283486.1	+	521	1936	592	1064	1	1416	475	663	74.947	0	1	4	0	1416
proto.108-Cuniculus_paca	proto.108-Dinomys	108	proto.108	Cuniculus_paca	Mammalia	Euarchontoglires	Rodentia	Cuniculidae	Cuniculus	31387	low_coverage	CunPac_v1_BIUU	GCA_004365215.1_CunPac_v1_BIUU_genomic.fna	RJWT010086281.1	+	5528	6708	209	430	423	1088	222	399	85.586	4.32	164	0	0	1181
proto.108-Dolichotis_patagonum	proto.108-Dinomys	108	proto.108	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31350	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010495928.1	-	56	394	822	934	1	339	113	205	84.956	1.82	64	0	0	339
proto.108-Chinchilla_lanigera	proto.108-Dinomys	108	proto.108	Chinchilla_lanigera	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla	31448	low_coverage	broad_v0_2012	C_lanigera_v0.assembly.fasta_12.fa	scaffold00033	-	14636987	14641202	90	1255	638	4204	1215	1602	68.889	0	1	10	0	4216
proto.108-Chinchilla_lanigera	proto.108-Dinomys	108	proto.108	Chinchilla_lanigera	Mammalia	Euarchontoglires	Rodentia	Chinchillidae	Chinchilla	31544	low_coverage	broad_v0_2012	C_lanigera_v0.assembly.fasta_24.fa	scaffold00132	-	459274	463092	160	501	272	1297	342	519	70.76	0	1	0	0	3819
proto.108-Sarcophilus_harrisii	proto.108-Dinomys	108	proto.108	Sarcophilus_harrisii	Mammalia	Unclassified	Dasyuromorphia	Dasyuridae	Sarcophilus	31510	complete	goldenpath_sarHar1	sarHar1.fa_4.fa	chr3_GL849626_random	+	4354498	4354794	357	398	172	297	42	59.7	64.286	6.23	21	0	0	297
proto.108-Hydrochoerus_hydrochaeris	proto.108-Dinomys	108	proto.108	Hydrochoerus_hydrochaeris	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	31991	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01035332.1	+	433	2148	3	250	286	1071	265	212	38.113	2.3	121	2	0	1716
proto.108-Hydrochoerus_hydrochaeris	proto.108-Dinomys	108	proto.108	Hydrochoerus_hydrochaeris	Mammalia	Euarchontoglires	Rodentia	Hydrochaeridae	Hydrochoerus	32030	low_coverage	HydHyd_v1_BIUU	GCA_004027455.1_HydHyd_v1_BIUU_genomic.fna	PVLA01004051.1	+	62864	67099	1	1289	352	4233	1315	1675	65.779	0	1	13	0	4236
proto.108-Dolichotis_patagonum	proto.108-Dinomys	108	proto.108	Dolichotis_patagonum	Mammalia	Euarchontoglires	Rodentia	Caviidae	Dolichotis	31936	low_coverage	DolPat_v1	GCA_004027295.1_DolPat_v1_BIUU_genomic.fna	PVJX010057708.1	+	6794	8119	57	457	73	1326	430	197	28.837	6.17	57	8	0	1326
