taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/EU200669	EU200669	BovineHoko1	Bovine_hokovirus_1	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	NK	-	China
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/EU200677	EU200677	PorcineHoko1	Porcine_hokovirus	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	NK	-	China
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/GU938300	GU938300	PorcineTetraPV	Porcine tetraparvovirus	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	CnPPV_JH13	NK	-	China: Southeast China
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/HQ113143	HQ113143	ChimpPV4	Chimpanzee_parvovirus_4	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	PT-P48	NK	-	Cameroon
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/JF504699	JF504699	OvineHoko1	Ovine_hokovirus_1	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	NK	-	China
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/MG745669	MG745669	RodentTetraPV	Rodent_tetraparvovirus	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	1135	NK	-	Brazil
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/MG745671	MG745671	DdPV	Didelphimorphs_tetraparvovirus	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	4113	NK	-	Brazil
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs/NC_007018	NC_007018	PARV4	Human parvovirus 4	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	NK	-	USA
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/NC_016744	NC_016744	EhBtPV	Eidolon_helvum_parvovirus 1	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	NK	-	Ghana
alignment/AL_UNC_TETRA_ROOT_VP/member/ncbi-refseqs-tetra/NC_031670	NC_031670	DeerTetraPV	Deer_tetraparvovirus 	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	tetra-CA1	NK	-	USA
