taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_AMDV/member/ncbi-curated-amdv/GU108231	GU108231	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	ADV-LN1	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/GU108232	GU108232	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	ADV-LN2	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/GU183264	GU183264	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	ADV-LN1	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/GU183265	GU183265	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	ADV-LN2	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/GU269892	GU269892	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	ADV-LN3	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/JB345270	JB345270	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_AMDV/member/ncbi-curated-amdv/JB345271	JB345271	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_AMDV/member/ncbi-curated-amdv/JB345272	JB345272	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	-	-	-
alignment/AL_AMDV/member/ncbi-curated-amdv/JN040434	JN040434	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	AMDV-G	Neovison vison	-	USA
alignment/AL_AMDV/member/ncbi-curated-amdv/KT329428	KT329428	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	Beijing	Neovison vison	-	China: Beijing
alignment/AL_AMDV/member/ncbi-curated-amdv/KT878958	KT878958	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Canada: Newfoundland
alignment/AL_AMDV/member/ncbi-curated-amdv/KT878959	KT878959	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Canada: Newfoundland
alignment/AL_AMDV/member/ncbi-curated-amdv/KT878960	KT878960	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Canada: Newfoundland
alignment/AL_AMDV/member/ncbi-curated-amdv/KT878961	KT878961	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Canada: Newfoundland
alignment/AL_AMDV/member/ncbi-curated-amdv/KT878962	KT878962	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Canada: Newfoundland
alignment/AL_AMDV/member/ncbi-curated-amdv/KT878965	KT878965	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Canada: Newfoundland
alignment/AL_AMDV/member/ncbi-curated-amdv/KT878966	KT878966	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Canada: Newfoundland
alignment/AL_AMDV/member/ncbi-curated-amdv/KT878967	KT878967	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Canada: Newfoundland
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295510	KU295510	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	DL1	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295511	KU295511	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	DL2	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295512	KU295512	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	DL3	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295513	KU295513	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	HB1	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295514	KU295514	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	HB2	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295515	KU295515	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	HB3	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295516	KU295516	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	HB4	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295517	KU295517	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	HLJ1	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295518	KU295518	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	HLJ2	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295519	KU295519	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	HLJ3	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295520	KU295520	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295521	KU295521	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	HLJ5	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295522	KU295522	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	JL1	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295523	KU295523	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	JL2	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295524	KU295524	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	JL3	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295525	KU295525	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	SD1	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295526	KU295526	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	SD2	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU295527	KU295527	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	SD3	Neovison vison	-	China
alignment/AL_AMDV/member/ncbi-curated-amdv/KU513985	KU513985	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	G#1	-	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU513986	KU513986	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	G#2	-	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU513987	KU513987	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	G#3	-	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU513988	KU513988	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	Utah	-	-	USA
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856560	KU856560	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856561	KU856561	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856562	KU856562	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856563	KU856563	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856564	KU856564	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856565	KU856565	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856566	KU856566	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856567	KU856567	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856568	KU856568	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
alignment/AL_AMDV/member/ncbi-curated-amdv/KU856569	KU856569	AMDV	Aleutian mink disease virus	-	Amdoparvovirus	-	-	-	-	-	Neovison vison	-	Denmark
