sequenceID	in source?	locus_numeric_id	host_group_tax_rank	host_group_name	structure	#species	#seqs	In align?	assign_clade	assign_subclade	virus_clade_ns	virus_subclade_ns	virus_clade_vp	virus_subclade_vp	intact orf(s)?	expressed?	nearest_upstream_orf	nearest_downstream_orf	human_chr	minimum_age_ortho	pubmed_id	insertion_name	insertion_full_name	virus_subfamily	source_name	virus_genus
dependo.0-macropus	yes	0	species	Macropus	genome	1	1	yes	Dependo3	Marsupial	Dependo3	Marsupial	Dependo3	Marsupial	no	nk?	?	?	NK		27377618	dependo.0-macropus	dependo.0-macropus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.1-whippomorpha	yes	1	clade	Whippomorpha	genome	23	24	yes	Dependo2	Lemuria	Dependo2	Lemuria	Dependo2	Lemuria	no	nk?	PAX5	PAX5	NK	62	32913662	dependo.1-whippomorpha	dependo.1-whippomorpha	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.2-vespertilionidae	yes	2	clade	Vespertilionidae	genome	8	8	yes	Dependo3	Glires	Dependo3	Glires	Dependo3	Dependo_B	no	nk	KIF6	KIF6	NK		32913662	dependo.2-vespertilionidae	dependo.2-vespertilionidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.3-lagomorpha	yes	3	order	Lagomorpha	genome	3	3	yes	Dependo3	Glires	Dependo3	Glires	Dependo3	Dependo_B	no	Yes	NUP42	GPNMB	NK	51	32913662	dependo.3-lagomorpha	dependo.3-lagomorpha	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.4-rhinocerotidae	yes	4	family	Rhinocerotidae	genome	4	4	yes	Dependo2	Lemuria	Dependo2	Lemuria	Dependo2	Lemuria	no	nk	CCDC85A	LOC101927213	ch2	27.9	NA	dependo.4-rhinocerotidae	dependo.4-rhinocerotidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.5-rhinocerotidae	yes	5	family	Rhinocerotidae	vp	4	4	yes	Dependo3	Dependo_B	NULL	NULL	Dependo3	Dependo_B	no	nk?	USP38	USP38	NK	27.9	NA	dependo.5-rhinocerotidae	dependo.5-rhinocerotidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.6-elephantidae	yes	6	species	Elephantidae	rep	1	1	yes	Dependo3	Dependo_B	Dependo3	Dependo_B	NULL	NULL	Rep	Yes	PIK3C3	CELF4	NK		NA	dependo.6-elephantidae	dependo.6-elephantidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.7-bradypus	yes	7	species	Bradypus	rep	1	1	yes	Dependo3	Dependo_B	Dependo3	Dependo_B	NULL	NULL	no	nk	?	?	NK		NA	dependo.7-bradypus	dependo.7-bradypus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.8-dasypus	yes	8	species	Dasypus	vp	1	1	yes	Dependo3	Dependo_B	NULL	NULL	Dependo3	Dependo_B	no	nk	PRR14L	KCNH8	NK		NA	dependo.8-dasypus	dependo.8-dasypus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.9-hyracoidea	yes	9	clade	Procaviidae	rep	2	2	yes	Dependo3	Dependo_B	Dependo3	Dependo_B	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.9-hyracoidea	dependo.9-hyracoidea	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.10-diprotodontia	yes	10	clade	Diprotodontia	rep	1	1	no	Dependo1	Sauria	Dependo1	Sauria	NULL	NULL	no	nk	TPD52	TPD52	NK		NA	dependo.10-diprotodontia	dependo.10-diprotodontia	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.11-manis	yes	11	genus	Manis	rep			no	Dependo3	Dependo_B	Dependo3	Dependo_B	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.11-manis	dependo.11-manis	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.12-orycteropus	yes	12	species	Orycteropus	genome*	1	1	yes	Dependo3	Glires	Dependo3	Glires	Dependo3	Dependo_B	no	nk	NK	NK	NK		NA	dependo.12-orycteropus	dependo.12-orycteropus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.13-cercopithecidae	yes	13	family	Cercopithecidae	genome	3	3	yes	Dependo3	Dependo_A	Dependo3	Dependo_A	Dependo3	Dependo_B	Rep	nk	HUNK	MIS18A	NK	19.4	NA	dependo.13-cercopithecidae	dependo.13-cercopithecidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.14-cercopithecidae	yes	14	family	Cercopithecidae	rep	5	5	yes	Dependo3	Dependo_A	Dependo3	Dependo_A	NULL	NULL	no	nk	KRT6A	KRT6A	NK	19.4	NA	dependo.14-cercopithecidae	dependo.14-cercopithecidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.15-colobus	yes	15	species	Colobus	rep	1	1	yes	Dependo3	Dependo_A	Dependo3	Dependo_A	NULL	NULL	no	nk	ENSCAN	GAP43	NK	19.4	NA	dependo.15-colobus	dependo.15-colobus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.16-canid	yes	16	family	Canidae	vp	5	5	yes	Dependo2	Lemuria	NULL	NULL	Dependo2	Lemuria	no	nk	SPATS2L	MAIP1	NK		NA	dependo.16-canid	dependo.16-canid	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.20-laurasiatheria	yes	20	superorder	Laurasiatheria	rep	13	13	yes	Dependo1	Sauria	Dependo1	Sauria	NULL	NULL	no	nk	GGT5	GGT5	NK		NA	dependo.20-laurasiatheria	dependo.20-laurasiatheria	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.22-laurasiatheria	yes	22	superorder	Laurasiatheria	rep	73	76	yes	Dependo1	Sauria	Dependo1	Sauria	NULL	NULL	no	nk	PCDH19  	DIAPH2	NK	62	NA	dependo.22-laurasiatheria	dependo.22-laurasiatheria	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.23-camelidae	yes	23	family	Camelidae	vp	5	5	yes	Dependo2	Lemuria	NULL	NULL	Dependo2	Lemuria	no	nk	PNRC2 	RIDA	NK	11.7	26037535	dependo.23-camelidae	dependo.23-camelidae	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.26-strepsirrhini	yes	26	suborder	strepsirrhini	vp	7	11	yes	Dependo2	Lemuria	NULL	NULL	Dependo2	Lemuria	no	nk	ENSPSMG00000005325	ACAD8	NK	55	15085543	dependo.26-strepsirrhini	dependo.26-strepsirrhini	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.27-eulemur	yes	27	genus	Eulemur	rep	3	3	yes	Dependo3	Dependo_B	Dependo3	Dependo_B	NULL	NULL	no	nk	NK	NK	NK		NA	dependo.27-eulemur	dependo.27-eulemur	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.28-daubentonia	yes	28	genus	Daubentonia	genome	1	2	yes	Dependo2	Lemuria	Dependo2	Lemuria	Dependo2	Lemuria	no	nk	NK	NK	NK		NA	dependo.28-daubentonia	dependo.28-daubentonia	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.30-chiroptera	yes	30	order	Chiroptera	genome				Dependo2	Lemuria	Dependo2	Lemuria	Dependo2	Lemuria	no	nk	NK	NK	NK		NA	dependo.30-chiroptera*	dependo.30-chiroptera*	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.36-pteronotus	yes	36	genus	Pteronotus	genome	1	1	no	Dependo1	Sauria	Dependo1	Sauria	Dependo1	Sauria	no	nk	SMLR1	TMEM200A	NK		NA	dependo.36-pteronotus	dependo.36-pteronotus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.37-rhinolophus	yes	37	genus	Rhinolophus	genome	1	1	yes	Dependo3	Dependo_A	Dependo3	Dependo_A	Dependo3	Dependo_A	no	nk	NK	NK	NK		NA	dependo.37-rhinolophus	dependo.37-rhinolophus	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
dependo.42-chinchilla	yes	42	genus	Chinchilla	rep	1	1	yes	Dependo3	Dependo_B	Dependo3	Dependo_B	NULL	NULL	Rep	nk	NK	NK	NK		NA	dependo.42-chinchilla	dependo.42-chinchilla	Parvovirinae	fasta-refseqs-dependo-epv	Dependoparvovirus
