sequenceID	locus_numeric_id	locus_name	host_species	empty_site	host_class	host_superorder	host_order	host_family	host_genus
KX239848	0	dependo.0-macropus	Aepyprymnus rufescens	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Aepyprymnus
KX239849	0	dependo.0-macropus	Dendrolagus goodfellowi	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Dendrolagus
KX239850	0	dependo.0-macropus	Dendrolagus matschiei	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Dendrolagus
KX239851	0	dependo.0-macropus	Hypsiprymnodon moschatus	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Hypsiprymnodon
KX239852	0	dependo.0-macropus	Hypsiprymnodon moschatus	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Hypsiprymnodon
KX239853	0	dependo.0-macropus	Lagorchestes conspicillatus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Lagorchestes
KX239854	0	dependo.0-macropus	Lagostrophus fasciatus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Lagostrophus
KX239855	0	dependo.0-macropus	Macropus giganteus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239856	0	dependo.0-macropus	Macropus parma	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239857	0	dependo.0-macropus	Macropus robustus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239858	0	dependo.0-macropus	Macropus rufogriseus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239859	0	dependo.0-macropus	Macropus rufus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Macropus
KX239860	0	dependo.0-macropus	Onychogalea unguifera	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Onychogalea
KX239861	0	dependo.0-macropus	Petrogale lateralis	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Petrogale
KX239862	0	dependo.0-macropus	Potorous tridactylus	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Potorous
KX239863	0	dependo.0-macropus	Potorous tridactylus	no	Mammalia	Unclassified	Diprotodontia	Potoroidae	Potorous
KX239864	0	dependo.0-macropus	Setonix brachyurus	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Setonix
KX239865	0	dependo.0-macropus	Thylogale stigmatica	no	Mammalia	Unclassified	Diprotodontia	Macropodidae	Thylogale
KX239866	0	dependo.0-macropus	Didelphis virginiana	yes	Mammalia	Unclassified	Didelphimorphia	Didelphidae	Didelphis
KX239867	0	dependo.0-macropus	Lasiorhinus latifrons	yes	Mammalia	Unclassified	Diprotodontia	Vombatidae	Lasiorhinus
KX239868	0	dependo.0-macropus	Petaurus breviceps	yes	Mammalia	Unclassified	Diprotodontia	Petauridae	Petaurus
KX239869	0	dependo.0-macropus	Phascolarctos cinereus	yes	Mammalia	Unclassified	Diprotodontia	Phascolarctidae	Phascolarctos
KX239870	0	dependo.0-macropus	Pseudocheirus peregrinus	yes	Mammalia	Unclassified	Diprotodontia	Pseudocheiridae	Pseudocheirus
KX239871	0	dependo.0-macropus	Spilocuscus maculatus	yes	Mammalia	Unclassified	Diprotodontia	Phalangeridae	Spilocuscus
KX239872	0	dependo.0-macropus	Trichosurus vulpecula	yes	Mammalia	Unclassified	Diprotodontia	Phalangeridae	Trichosurus
MN782247	1	dependo.1-whippomorpha	Balaena mysticetus	no	Mammalia	Laurasiatheria	Cetacea	Balaenidae	Balaena
MN782248	1	dependo.1-whippomorpha	Balaenoptera acutorostrata	no	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
MN782249	1	dependo.1-whippomorpha	Balaenoptera physalus	no	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
MN782250	1	dependo.1-whippomorpha	Delphinapterus leucas	no	Mammalia	Laurasiatheria	Cetacea	Monodontidae	Delphinapterus
MN782251	1	dependo.1-whippomorpha	Delphinus capensis	no	Mammalia	Laurasiatheria	Cetacea	Delphinidae	Delphinus
