taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/AF321230	AF321230	KilhamRat	Kilham rat virus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/D00623	D00623	PPV	Porcine parvovirus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/JX505432	JX505432	H1	H-1 parvovirus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/KJ495710	KJ495710	TuV	Primate protoparvovirus 4	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/KJ641666	KJ641666	BtHp-PV	Bat parvovirus isolate BtHp-PV/GD2012	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/KT965075	KT965075	Zsana	Protoparvovirus Zsana	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_001510	NC_001510	MVM	Rodent protoparvovirus 1	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs/NC_001539	NC_001539	CPV	Carnivore protoparvovirus	Parvovirinae	Protoparvovirus	Proto1	NK	Proto1	Proto1	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_001718	NC_001718	PPV	Ungulate protoparvovirus 1	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_026815	NC_026815	EuPV	Eulipotyphla protoparvovirus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_028650	NC_028650	RatBuV	Rodent protoparvovirus 3	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_029797	NC_029797	BtBuV1	Chiropteran protoparvovirus 1	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_030837	NC_030837	SoPV	Carnivore protoparvovirus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_038544	NC_038544	BuV1a	Primate protoparvovirus 1	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_038545	NC_038545	RPV1	Rodent protoparvovirus 2	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_039049	NC_039049	WuBuV1	Primate protoparvovirus 2	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_UNC_PROTO_ROOT_EVE_NS/member/ncbi-refseqs-proto/NC_039050	NC_039050	CutaV	Primate protoparvovirus 3	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
