taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/KP120516	KP120516	SlPV	Slow loris parvovirus 1	Parvovirinae	Loriparvovirus	NK	NK	NK	NK	-	Nycticebus coucang	-	USA: North Carolina
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/MN049932	MN049932	SyngChPV	Syngnathus scovelli chapparvovirus	Hamaparvovirinae	Ichthamaparvovirus	NK	NK	NK	NK	-	Syngnathus scovelli	-	USA
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_000883	NC_000883	B19	Human parvovirus B19	Parvovirinae	Erythroparvovirus	NK	NK	NK	NK	J35	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_000936	NC_000936	PfDNV	Periplaneta fuliginosa densovirus	Densovirinae	Pefuambidensovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_001401	NC_001401	AAV2	Adeno-associated virus 2	Parvovirinae	Dependoparvovirus	Dependo3	Dependo-A	Dependo3	Dependo-A	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_001539	NC_001539	CPV	Carnivore protoparvovirus	Parvovirinae	Protoparvovirus	Proto1	NK	Proto1	Proto1	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_001540	NC_001540	BPV	Bovine parvovirus	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_001662	NC_001662	AMDV	Aleutian mink disease virus	Parvovirinae	Amdoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_002190	NC_002190	IHHN	Infectious hypodermal and hematopoietic necrosis virus	Hamaparvovirinae	Penstyldensoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_004284	NC_004284	JcDNV	Junonia coenia densovirus	Densovirinae	Ambidensoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_004285	NC_004285	AalDNV-2	Aedes albopictus densovirus 2	Hamaparvovirinae	Brevidensoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_004286	NC_004286	GmDV	Galleria mellonella densovirus	Densovirinae	Protoambidensovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_004287	NC_004287	BmDNV-5	Bombyx mori densovirus 5	Densovirinae	Iteradensoparvovirus	NK	NK	NK	NK	Shinshu	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_004289	NC_004289	PcDV	Planococcus citri densovirus	Densovirinae	Scindoambidensovirus	NK	NK	NK	NK	-	Planococcus citri	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_005041	NC_005041	BgDV	Blattella germanica densovirus 1	Densovirinae	Blattambidensovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_006259	NC_006259	BPV2	Bovine parvovirus 2	Parvovirinae	Copiparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_007018	NC_007018	PARV4	Human parvovirus 4	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	Homo sapiens	-	USA
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_014357	NC_014357	FCDNV	Fenneropenaeus chinensis hepatopancreatic densovirus	Hamaparvovirinae	Hepandensoparvovirus	NK	NK	NK	NK	-	Fenneropenaeus chinensis	-	China
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_016752	NC_016752	ArtiPV	Artibeus jamaicensis parvovirus 1	Parvovirinae	Artiparvovirus	NK	NK	NK	NK	-	Artibeus jamaicensis	-	Panama
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_022564	NC_022564	AdMADV	Acheta domesticus mini ambidensovirus	Densovirinae	Miniambidensovirus	NK	NK	NK	NK	Kalamazoo	cricket	-	USA
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_024452	NC_024452	ChPV	Chicken parvovirus	Parvovirinae	Aveparvovirus	NK	NK	NK	NK	-	-	-	Hungary
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_038532	NC_038532	AaDV	Asteroid aquambidensovirus 1	Densovirinae	Aquiambidensovirus	NK	NK	NK	NK	-	Asteroidea	-	USA
alignment/AL_Parvoviridae_MASTER/member/ncbi-refseqs/NC_040562	NC_040562	PPV7	Porcine parvovirus 7	Hamaparvovirinae	Chaphamaparvovirus	NK	NK	NK	NK	GX49	Sus scrofa	-	China
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Callorhinus_ursinus	parvovirinae.20-Callorhinus_ursinus	parvovirinae.20-Callorhinus_ursinus	parvovirinae.20-Callorhinus_ursinus	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Equus_africanus_asinus	parvovirinae.20-Equus_africanus_asinus	parvovirinae.20-Equus_africanus_asinus	parvovirinae.20-Equus_africanus_asinus	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Equus_asinus_somalicus	parvovirinae.20-Equus_asinus_somalicus	parvovirinae.20-Equus_asinus_somalicus	parvovirinae.20-Equus_asinus_somalicus	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Equus_burchellii_boehmi	parvovirinae.20-Equus_burchellii_boehmi	parvovirinae.20-Equus_burchellii_boehmi	parvovirinae.20-Equus_burchellii_boehmi	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Equus_caballus	parvovirinae.20-Equus_caballus	parvovirinae.20-Equus_caballus	parvovirinae.20-Equus_caballus	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Equus_grevyi	parvovirinae.20-Equus_grevyi	parvovirinae.20-Equus_grevyi	parvovirinae.20-Equus_grevyi	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Equus_hemionus	parvovirinae.20-Equus_hemionus	parvovirinae.20-Equus_hemionus	parvovirinae.20-Equus_hemionus	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Equus_kiang	parvovirinae.20-Equus_kiang	parvovirinae.20-Equus_kiang	parvovirinae.20-Equus_kiang	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Equus_zebra_hartmannae	parvovirinae.20-Equus_zebra_hartmannae	parvovirinae.20-Equus_zebra_hartmannae	parvovirinae.20-Equus_zebra_hartmannae	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Eumetopias_jubatus	parvovirinae.20-Eumetopias_jubatus	parvovirinae.20-Eumetopias_jubatus	parvovirinae.20-Eumetopias_jubatus	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Felis_nigripes	parvovirinae.20-Felis_nigripes	parvovirinae.20-Felis_nigripes	parvovirinae.20-Felis_nigripes	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Gulo_gulo	parvovirinae.20-Gulo_gulo	parvovirinae.20-Gulo_gulo	parvovirinae.20-Gulo_gulo	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Halichoerus_grypus	parvovirinae.20-Halichoerus_grypus	parvovirinae.20-Halichoerus_grypus	parvovirinae.20-Halichoerus_grypus	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
alignment/AL_Parvoviridae_MASTER/member/fasta-digs-unc-parvo-epv/parvovirinae.20-Inia_geoffrensis	parvovirinae.20-Inia_geoffrensis	parvovirinae.20-Inia_geoffrensis	parvovirinae.20-Inia_geoffrensis	Parvovirinae	Unclassified	-	-	-	-	-	-	-	-
