taxon	sequenceID	name	full_name	subfamily	genus	clade_ns	subclade_ns	clade_vp	subclade_vp	isolate	host_sci_name	sample_date	country
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-proto/AF321230	AF321230	KilhamRat	Kilham rat virus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-erythro/AF406967	AF406967	BPV3	Ungulate erythroparvovirus 1	Parvovirinae	Erythroparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-proto/D00623	D00623	PPV	Porcine parvovirus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/fasta-refseqs-erythro/ErythroPV-Giraffe-1	ErythroPV-Giraffe-1	GiEPV	Ungulate erythroparvovirus 2	Parvovirinae	Erythroparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/fasta-refseqs-erythro/ErythroPV-Hyaena-1	ErythroPV-Hyaena-1	HhEPV	Ungulate erythroparvovirus 2	Parvovirinae	Erythroparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-tetra/EU200669	EU200669	BovineHoko1	Bovine_hokovirus_1	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	-	-	China
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-tetra/EU200677	EU200677	PorcineHoko1	Porcine_hokovirus	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	-	-	China
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-dependo/FJ688147	FJ688147	AAVpo1	Adeno-associated virus Po1	Parvovirinae	Dependoparvovirus	Dependo3	Dependoparvovirus-B	Dependo3	Porcine	-	Sus domestica	-	Canada
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-tetra/GU938300	GU938300	PorcineTetraPV	Porcine_Cn	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	CnPPV_JH13	Sus scrofa	-	China: Southeast China
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-tetra/HQ113143	HQ113143	CHhimpPV4	Chimpanzee_parvovirus_4	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	PT-P48	Pan troglodytes	-	Cameroon
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-boca/JF429835	JF429835	Sus-ArtBoV4-1	Porcine bocavirus 4-1	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	-	Sus scrofa	-	Hong Kong
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-tetra/JF504699	JF504699	OvineHoko1	Ovine_hokovirus_1	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	-	sheep	-	China
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-boca/JN420361	JN420361	Zac-PnBov1	California sea lion bocavirus 1	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	1153	Zalophus californianus (California sea lion)	-	USA: California
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-proto/JX505432	JX505432	H1	H-1 parvovirus	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-proto/KJ641666	KJ641666	BtHp-PV	Bat parvovirus isolate BtHp-PV/GD2012	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs/KP120516	KP120516	SlPV	Slow loris parvovirus 1	Parvovirinae	Loriparvovirus	NK	NK	NK	NK	-	Nycticebus coucang	-	USA: North Carolina
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-dependo/MF416383	MF416383	Mouse-AAV1	Mouse adeno associated virus 1	Parvovirinae	Dependoparvovirus	Dependo3	Rodent	Dependo3	Rodent	MAAV1/NYC/Manhattan/poolF1	Mus musculus	-	USA
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-boca/MF682922	MF682922	Rp-BtBoV1	Rhinolophus pusillus bocaparvovirus 1	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	-	Rhinolophus pusillus	-	China
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-boca/MF682923	MF682923	Rp-BtBoV2	Rhinolophus pusillus bocaparvovirus 2	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	-	Rhinolophus pusillus	-	China
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-boca/MF682925	MF682925	Rol-BtBoV1	Rousettus leschenaultii bocaparvovirus 1	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	-	Rousettus leschenaultii	-	China
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-tetra/MG745669	MG745669	RodentTetraPV	Rodent_tetraparvovirus	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	1135	Bolomys lasiurus	-	Brazil
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-tetra/MG745671	MG745671	DdPV	Didelphimorphs_tetraparvovirus	Parvovirinae	Tetraparvovirus	NK	NK	NK	NK	4113	Didelphis albiventris	-	Brazil
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-amdo/MT770848	MT770848	LAPV	 Carnivore amdoparvovirus 1	Parvovirinae	Amdoparvovirus	NK	NK	NK	NK	-	Martes americana	-	Canada: Labrador
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-ave/MW046460	MW046460	MacawAvePV	Ara ararauna aveparvovirus	Parvovirinae	Aveparvovirus	NK	NK	NK	NK	par085par04	Ara ararauna	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs/NC_000883	NC_000883	B19	Human parvovirus B19	Parvovirinae	Erythroparvovirus	NK	NK	NK	NK	J35	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs/NC_001401	NC_001401	AAV2	Adeno-associated virus 2	Parvovirinae	Dependoparvovirus	Dependo3	Dependo-A	Dependo3	Dependo-A	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-proto/NC_001510	NC_001510	MVM	Rodent protoparvovirus 1	Parvovirinae	Protoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs/NC_001539	NC_001539	CPV	Carnivore protoparvovirus	Parvovirinae	Protoparvovirus	Proto1	NK	Proto1	Proto1	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs/NC_001540	NC_001540	BPV	Bovine parvovirus	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs/NC_001662	NC_001662	AMDV	Aleutian mink disease virus	Parvovirinae	Amdoparvovirus	NK	NK	NK	NK	-	-	-	-
alignment/AL_TREE_Parvovirinae/member/ncbi-refseqs-boca/NC_004442	NC_004442	CanFam-CarBV1	Canine minute virus	Parvovirinae	Bocaparvovirus	NK	NK	NK	NK	-	-	-	-
