referenceName	featureName	startNT	endNT
CPV	5UTR	1	130
CPV	NS	130	465
CPV	VP	466	969
MVM1	NS	114	2279
MVM1	VP	2399	4555
PPV	NS	292	2280
PPV	VP	2388	4547
MpBuV	NS	63	1982
MpBuV	VP	2247	4403
AMDV	NS	206	1978
AMDV	VP	2406	4349
ChPV	NS	411	2495
ChPV	VP	2998	5025
BPV	NS	740	2920
BPV	M	2661	3302
BPV	VP	3286	5307
PBoV	NS	149	2260
PBoV	M	2333	3019
PBoV	VP	3003	5120
CMV	NS	429	2579
CMV	M	2389	2949
CMV	VP	2933	5044
AAV2	NS	321	2252
AAV2	VP	2203	4410
SnakePV	NS	324	2012
SnakePV	VP	2030	4210
CAV	NS	347	2179
CAV	VP	2195	4375
GPV	NS	537	2420
GPV	VP	2439	4637
MDPV	NS	548	2431
MDPV	VP	2450	4648
B19	NS	616	2631
B19	VP	2624	4969
BPV2	NS	306	1919
BPV2	VP	2268	5384
HamsterPV	NS	122	2140
HamsterPV	VP	2664	4427
