taxon	sequenceID	name	locus_name	locus_numeric_id	scaffold	start_position	end_position	host_sci_name	host_class	host_superorder	host_order	host_family	host_genus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Balaenoptera_acutorostrata-Dependo-36	Balaenoptera_acutorostrata-Dependo-36	Balaenoptera_acutorostrata-Dependo-36	dependo.20-laurasiatheria	20	KI538526	7764951	7765079	Balaenoptera_acutorostrata	Mammalia	Laurasiatheria	Cetacea	Balaenopteridae	Balaenoptera
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Callorhinus_ursinus-Dependo-47	Callorhinus_ursinus-Dependo-47	Callorhinus_ursinus-Dependo-47	dependo.20-laurasiatheria	20	KZ836403.1	1669140	1669295	Callorhinus_ursinus	Mammalia	Laurasiatheria	Carnivora	Otariidae	Callorhinus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_africanus_asinus-Dependo-122	Equus_africanus_asinus-Dependo-122	Equus_africanus_asinus-Dependo-122	dependo.20-laurasiatheria	20	scaffold15255	44734	44907	Equus_africanus_asinus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_asinus_somalicus-Dependo-125	Equus_asinus_somalicus-Dependo-125	Equus_asinus_somalicus-Dependo-125	dependo.20-laurasiatheria	20	scaffold15255	44734	44907	Equus_asinus_somalicus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_burchellii_boehmi-Dependo-127	Equus_burchellii_boehmi-Dependo-127	Equus_burchellii_boehmi-Dependo-127	dependo.20-laurasiatheria	20	chr8	1277542	1277715	Equus_burchellii_boehmi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_caballus-Dependo-128	Equus_caballus-Dependo-128	Equus_caballus-Dependo-128	dependo.20-laurasiatheria	20	chr8	1277542	1277694	Equus_caballus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_caballus_fjord-Dependo-130	Equus_caballus_fjord-Dependo-130	Equus_caballus_fjord-Dependo-130	dependo.20-laurasiatheria	20	chr8	1277542	1277775	Equus_caballus_fjord	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_caballus_icelandic-Dependo-131	Equus_caballus_icelandic-Dependo-131	Equus_caballus_icelandic-Dependo-131	dependo.20-laurasiatheria	20	chr8	1277542	1277775	Equus_caballus_icelandic	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_ferus_przewalskii-Dependo-132	Equus_ferus_przewalskii-Dependo-132	Equus_ferus_przewalskii-Dependo-132	dependo.20-laurasiatheria	20	gi|662821819|ref|NW_007675382.1|	48184	48417	Equus_ferus_przewalskii	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_grevyi-Dependo-134	Equus_grevyi-Dependo-134	Equus_grevyi-Dependo-134	dependo.20-laurasiatheria	20	chr8	1277542	1277715	Equus_grevyi	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_hemionus-Dependo-135	Equus_hemionus-Dependo-135	Equus_hemionus-Dependo-135	dependo.20-laurasiatheria	20	scaffold15255	44734	44907	Equus_hemionus	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_kiang-Dependo-137	Equus_kiang-Dependo-137	Equus_kiang-Dependo-137	dependo.20-laurasiatheria	20	scaffold15255	44734	44907	Equus_kiang	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Equus_zebra_hartmannae-Dependo-140	Equus_zebra_hartmannae-Dependo-140	Equus_zebra_hartmannae-Dependo-140	dependo.20-laurasiatheria	20	chr8	1277542	1277715	Equus_zebra_hartmannae	Mammalia	Laurasiatheria	Perissodactyla	Equidae	Equus
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Felis_catus-Dependo-148	Felis_catus-Dependo-148	Felis_catus-Dependo-148	dependo.20-laurasiatheria	20	chrD3	24656764	24656856	Felis_catus	Mammalia	Laurasiatheria	Carnivora	Felidae	Felis
alignment/AL_EPV-20-laurasiatheria/member/fasta-digs-dependo-epv/Gulo_gulo-Dependo-158	Gulo_gulo-Dependo-158	Gulo_gulo-Dependo-158	dependo.20-laurasiatheria	20	CYRY01002055.1	44039	44203	Gulo_gulo	Mammalia	Laurasiatheria	Carnivora	Mustelidae	Gulo
